tileswide 10
tileshigh 10
tilewidth 32
tileheight 16

layer 0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,

layer 1
0,1,1,1,1,1,1,1,1,2,
8,9,3,3,9,3,9,3,3,10,
8,3,9,9,9,3,9,9,3,10,
8,3,3,3,9,3,3,9,3,10,
8,3,9,9,3,9,3,3,9,10,
8,9,3,9,3,9,3,9,3,10,
8,9,9,9,3,3,3,3,9,10,
16,17,17,17,17,17,17,17,17,18,
-1,0,2,-1,-1,-1,-1,-1,-1,-1,
-1,16,18,-1,-1,-1,-1,-1,-1,-1,

layer 2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,14,-1,-1,-1,-1,-1,-1,
-1,-1,-1,22,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,14,-1,-1,
-1,-1,14,14,14,-1,-1,22,-1,-1,
-1,-1,22,23,23,-1,-1,-1,-1,-1,
-1,-1,-1,4,4,-1,-1,-1,-1,-1,
-1,-1,-1,12,12,-1,-1,-1,-1,-1,
-1,-1,-1,20,20,-1,-1,-1,-1,-1,
-1,-1,-1,20,20,-1,-1,-1,-1,-1,

